id,food_name,price,area,counter,tags,time,,备注
,牛肉饼,5,学二食堂,早餐柜台,"咸鲜, 牛肉",早餐,,早餐一般都不分柜台
,糊塌子,1.5,学二食堂,早餐柜台,,早餐,,
,咸菜,0.3,学二食堂,早餐柜台,咸菜,早餐,,
,紫米发糕,0.8,学二食堂,早餐柜台,"紫米, 发糕",早餐,,
,玉米发糕,0.8,学二食堂,早餐柜台,"玉米, 发糕",早餐,,
,鸡蛋,0.5,学二食堂,早餐柜台,,早餐,,
,手抓饼,2.5,学二食堂,早餐柜台,,早餐,,
,自制面包,1.5,学二食堂,早餐柜台,,早餐,,
,麻酱火烧,1,学二食堂,早餐柜台,,早餐,,
,麻酱花卷,0.5,学二食堂,早餐柜台,,早餐,,
,馒头,0.4,学二食堂,早餐柜台,,早餐,,
,锅贴,0.8,学二食堂,早餐柜台,,早餐,,
,酱肉包,2,学二食堂,早餐柜台,,早餐,,
,酱三鲜包,1,学二食堂,早餐柜台,三鲜,早餐,,
,红糖火烧,2,学二食堂,早餐柜台,"红糖, 烧饼, 火烧",早餐,,
,油盐花卷,0.4,学二食堂,早餐柜台,"油盐, 花卷",早餐,,
,辣花卷,0.5,学二食堂,早餐柜台,"辣, 花卷",早餐,,
,糖三角,0.5,学二食堂,早餐柜台,红糖,早餐,,
,凤尾酥,1.5,学二食堂,早餐柜台,,早餐,,
,玉米饼,0.5,学二食堂,早餐柜台,玉米,早餐,,
,小豆包,0.5,学二食堂,早餐柜台,豆沙,早餐,,
,面包圈,1.2,学二食堂,早餐柜台,,早餐,,
,鲜肉包（手工）,0.6,学二食堂,早餐柜台,,早餐,,
,鲜肉包（机器）,0.6,学二食堂,早餐柜台,,早餐,,
,雪菜包,1.2,学二食堂,早餐柜台,,早餐,,
,油盐酥,2,学二食堂,早餐柜台,油盐,早餐,,
,起酥,1.5,学二食堂,早餐柜台,,早餐,,
,五仁酥,1.5,学二食堂,早餐柜台,五仁,早餐,,
,麻团,1.5,学二食堂,早餐柜台,,早餐,,
,南瓜饼,2,学二食堂,早餐柜台,南瓜,早餐,,
,牛舌酥,1.5,学二食堂,早餐柜台,,早餐,,
,豆沙酥,1.5,学二食堂,早餐柜台,豆沙,早餐,,
,莲花酥,1.5,学二食堂,早餐柜台,,早餐,,
,麻花,2,学二食堂,早餐柜台,,早餐,,
,油饼,0.4,学二食堂,早餐柜台,,早餐,,
,三鲜小包,0.6,学二食堂,早餐柜台,三鲜,早餐,,
,奶,2,学二食堂,早餐柜台,,早餐,,
,自制豆包,0.8,学二食堂,早餐柜台,豆沙,早餐,,
,紫米粥,1.5,学二食堂,早餐柜台,"紫米, 粥",早餐,,
,大米粥,0.3,学二食堂,早餐柜台,"大米, 粥",早餐,,
,小米粥,1,学二食堂,早餐柜台,"小米, 粥",早餐,,
,玉米粥,0.3,学二食堂,早餐柜台,"玉米, 粥",早餐,,
,黄桥烧饼（甜）,2,学二食堂,早餐柜台,"甜, 烧饼",早餐,,
,黄桥烧饼（咸）,1.5,学二食堂,早餐柜台,"咸, 烧饼",早餐,,
,猪肉饼,2,学二食堂,早餐柜台,猪肉,早餐,,
,烧卖,1.4,学二食堂,早餐柜台,,早餐,,
,甜咸酥,1.5,学二食堂,早餐柜台,,早餐,,
,杂粮豆浆,3,学二食堂,早餐柜台,豆浆,早餐,,
,馄饨,1.5,学二食堂,早餐柜台,,早餐,,
,炸糕,1.5,学二食堂,早餐柜台,,早餐,,
,紫薯包,0.8,学二食堂,早餐柜台,,早餐,,
,小油条,0.3,清真食堂,早餐柜台,油条,早餐,,
,大油条,1,清真食堂,早餐柜台,油条,早餐,,
,鸡蛋摊饼,0.6,清真食堂,早餐柜台,,早餐,,
,鸡蛋饼,1,清真食堂,早餐柜台,鸡蛋,早餐,,
,糖花卷,0.8,清真食堂,早餐柜台,"糖, 花卷",早餐,,
,果酱包,1,清真食堂,早餐柜台,果酱,早餐,,
,发糕,1,清真食堂,早餐柜台,发糕,早餐,,
,玉米饼,1,清真食堂,早餐柜台,玉米,早餐,,
,豆浆,1,清真食堂,早餐柜台,豆浆,早餐,,
