,Index,id,food_name,price,area,counter,tags,time,_8,备注
0,0,,盐水花生,12.0,美食苑,淄博烧烤,"花生, 凉菜",正餐,,
1,1,,盐水毛豆,12.0,美食苑,淄博烧烤,"毛豆, 凉菜",正餐,,
2,2,,花生毛豆拼,12.0,美食苑,淄博烧烤,"花生, 毛豆, 凉菜",正餐,,
3,3,,羊板筋,3.5,美食苑,淄博烧烤,"羊, 板筋",正餐,,
4,4,,羊肉筋,4.0,美食苑,淄博烧烤,"羊, 筋",正餐,,
5,5,,羊肉串,3.0,美食苑,淄博烧烤,,正餐,,
6,6,,红柳大串,8.0,美食苑,淄博烧烤,羊,正餐,,
7,7,,淄博小饼,5.0,美食苑,淄博烧烤,,正餐,,
8,8,,小葱蘸酱（小份）,5.0,美食苑,淄博烧烤,,正餐,,
9,9,,小葱蘸酱（大份）,10.0,美食苑,淄博烧烤,,正餐,,
10,10,,五花肉,3.0,美食苑,淄博烧烤,五花肉,正餐,,
11,11,,牛板筋,3.0,美食苑,淄博烧烤,,正餐,,
12,12,,猪脆骨,3.0,美食苑,淄博烧烤,"猪, 脆骨",正餐,,
13,13,,鸡胗,3.0,美食苑,淄博烧烤,"鸡, 鸡胗",正餐,,
14,14,,鸡心,3.0,美食苑,淄博烧烤,"鸡, 鸡心",正餐,,
15,15,,肥腰,10.0,美食苑,淄博烧烤,"羊, 腰",正餐,,
16,16,,小腰,3.0,美食苑,淄博烧烤,,正餐,,
17,17,,望京小腰,3.0,美食苑,淄博烧烤,,正餐,,
18,18,,牛肉串,4.0,美食苑,淄博烧烤,牛,正餐,,
19,19,,鸡肉串,3.0,美食苑,淄博烧烤,鸡,正餐,,
20,20,,奥尔良鸡翅,8.0,美食苑,淄博烧烤,鸡翅,正餐,,
21,21,,蜜汁鸡翅,8.0,美食苑,淄博烧烤,鸡翅,正餐,,
22,22,,骨肉相连,3.0,美食苑,淄博烧烤,骨肉相连,正餐,,
23,23,,大虾,4.0,美食苑,淄博烧烤,虾,正餐,,
24,24,,鱿鱼,6.0,美食苑,淄博烧烤,鱿鱼,正餐,,
25,25,,糖蒜,5.0,美食苑,淄博烧烤,,正餐,,
26,26,,烤韭菜,10.0,美食苑,淄博烧烤,韭菜,正餐,,
27,27,,豆皮卷金针菇,2.5,美食苑,淄博烧烤,"豆皮, 金针菇",正餐,,
28,28,,烤肠,3.0,美食苑,淄博烧烤,,正餐,,
29,29,,鱼豆腐,3.0,美食苑,淄博烧烤,,正餐,,
30,30,,美容猪皮,2.0,美食苑,淄博烧烤,,正餐,,
31,31,,烤鹌鹑蛋,4.0,美食苑,淄博烧烤,,正餐,,
32,32,,馒头片,2.0,美食苑,淄博烧烤,,正餐,,
33,33,,烤猪蹄,22.0,美食苑,淄博烧烤,,正餐,,
34,34,,护心肉,3.0,美食苑,淄博烧烤,,正餐,,
35,35,,原味鸡翅,8.0,美食苑,淄博烧烤,,正餐,,
36,36,,培根卷金针菇,4.0,美食苑,淄博烧烤,,正餐,,
37,37,,麻辣小龙虾（10只）,29.0,美食苑,淄博烧烤,,正餐,,
38,38,,麻辣小龙虾（20只）,56.0,美食苑,淄博烧烤,,正餐,,
39,39,,香辣卤鸭腿,7.0,美食苑,淄博烧烤,,正餐,,
40,40,,香辣卤鸭头,7.0,美食苑,淄博烧烤,,正餐,,
41,41,,鸭货拼盘,20.0,美食苑,淄博烧烤,,正餐,,
42,42,,炸花生米,10.0,美食苑,淄博烧烤,,正餐,,
43,43,,拌猪耳,22.0,美食苑,淄博烧烤,,正餐,,
44,44,,拌猪头肉,22.0,美食苑,淄博烧烤,,正餐,,
45,45,,拌豆腐丝,10.0,美食苑,淄博烧烤,,正餐,,
46,46,,果仁菠菜,18.0,美食苑,淄博烧烤,,正餐,,
47,47,,拍黄瓜,12.0,美食苑,淄博烧烤,,正餐,,
48,48,,皮蛋豆腐,10.0,美食苑,淄博烧烤,,正餐,,
49,49,,姜汁松花蛋,16.0,美食苑,淄博烧烤,,正餐,,
50,50,,川味香肠,18.0,美食苑,淄博烧烤,,正餐,,
51,51,,小酥肉,26.0,美食苑,淄博烧烤,,正餐,,
52,52,,炸平菇,18.0,美食苑,淄博烧烤,,正餐,,
53,53,,红糖爆浆糍粑,16.0,美食苑,淄博烧烤,,正餐,,
54,54,,花生米三元,3.0,美食苑,淄博烧烤,,正餐,,
55,55,,香辣烤牛蛙,68.0,美食苑,淄博烧烤,,正餐,,
56,56,,烤鱼,68.0,美食苑,淄博烧烤,,正餐,,
57,57,,香辣烤虾,68.0,美食苑,淄博烧烤,,正餐,,
58,58,,大虾,4.0,美食苑,淄博烧烤,,正餐,,
59,59,,海带,6.0,美食苑,淄博烧烤,,正餐,,
60,60,,宽粉,6.0,美食苑,淄博烧烤,,正餐,,
61,61,,金针菇,8.0,美食苑,淄博烧烤,,正餐,,
62,62,,腐竹,8.0,美食苑,淄博烧烤,,正餐,,
63,63,,娃娃菜,6.0,美食苑,淄博烧烤,,正餐,,
64,64,,土豆,6.0,美食苑,淄博烧烤,,正餐,,
65,65,,鸭血,6.0,美食苑,淄博烧烤,,正餐,,
66,66,,豆皮,6.0,美食苑,淄博烧烤,,正餐,,
67,67,,木耳,8.0,美食苑,淄博烧烤,,正餐,,
68,68,,香辣肥肠鸡,68.0,美食苑,淄博烧烤,,正餐,,
69,69,,丸子,12.0,美食苑,淄博烧烤,,正餐,,
70,70,,鲜香菇,8.0,美食苑,淄博烧烤,,正餐,,
