,Index,id,food_name,price,area,counter,tags,time,_8,备注
71,71,,麻婆豆腐,18.0,美食苑,淄博烧烤,,正餐,,
72,72,,清炒小油菜,18.0,美食苑,淄博烧烤,,正餐,,
73,73,,西红柿炒鸡蛋,20.0,美食苑,淄博烧烤,,正餐,,
74,74,,韭菜炒鸡蛋,20.0,美食苑,淄博烧烤,,正餐,,
75,75,,尖椒炒鸡蛋,20.0,美食苑,淄博烧烤,,正餐,,
76,76,,地三鲜,22.0,美食苑,淄博烧烤,,正餐,,
77,77,,干煸豆角,24.0,美食苑,淄博烧烤,,正餐,,
78,78,,鱼香肉丝,25.0,美食苑,淄博烧烤,,正餐,,
79,79,,泡椒猪肝,25.0,美食苑,淄博烧烤,,正餐,,
80,80,,尖椒肉丝,25.0,美食苑,淄博烧烤,,正餐,,
81,81,,湘味小河虾,26.0,美食苑,淄博烧烤,,正餐,,
82,82,,回锅肉,26.0,美食苑,淄博烧烤,,正餐,,
83,83,,松仁玉米,26.0,美食苑,淄博烧烤,,正餐,,
84,84,,小炒肉,28.0,美食苑,淄博烧烤,,正餐,,
85,85,,宫保鸡丁,28.0,美食苑,淄博烧烤,,正餐,,
86,86,,京酱肉丝,30.0,美食苑,淄博烧烤,,正餐,,
87,87,,水煮肉,32.0,美食苑,淄博烧烤,,正餐,,
88,88,,盐煎肉,32.0,美食苑,淄博烧烤,,正餐,,
89,89,,乐山辣子鸡,35.0,美食苑,淄博烧烤,,正餐,,
90,90,,红运毛血旺,38.0,美食苑,淄博烧烤,,正餐,,
91,91,,奇香排骨,42.0,美食苑,淄博烧烤,,正餐,,
92,92,,小炒牛肉,42.0,美食苑,淄博烧烤,,正餐,,
93,93,,土豆烧牛肉,42.0,美食苑,淄博烧烤,,正餐,,
94,94,,麻辣跳水蛙,48.0,美食苑,淄博烧烤,,正餐,,
95,95,,香酥排骨虾,48.0,美食苑,淄博烧烤,,正餐,,
96,96,,大盘鸡,48.0,美食苑,淄博烧烤,,正餐,,
97,97,,酥脆香酥虾,56.0,美食苑,淄博烧烤,,正餐,,
98,98,,外婆菜炒鸡蛋,20.0,美食苑,淄博烧烤,,正餐,,
99,99,,小炒猪脸,26.0,美食苑,淄博烧烤,,正餐,,
100,100,,梅菜扣肉,36.0,美食苑,淄博烧烤,,正餐,,
101,101,,清炒油麦菜,18.0,美食苑,淄博烧烤,,正餐,,
102,102,,小炒香干,28.0,美食苑,淄博烧烤,,正餐,,
103,103,,腊肉香干,36.0,美食苑,淄博烧烤,,正餐,,
104,104,,干锅千叶豆腐,26.0,美食苑,淄博烧烤,,正餐,,
105,105,,锅仔酸菜白肉,28.0,美食苑,淄博烧烤,,正餐,,
106,106,,干锅牛蛙,48.0,美食苑,淄博烧烤,,正餐,,
107,107,,干锅卤味肥肠,42.0,美食苑,淄博烧烤,,正餐,,
108,108,,干锅有机花菜,30.0,美食苑,淄博烧烤,,正餐,,
109,109,,番茄牛腩锅仔,42.0,美食苑,淄博烧烤,,正餐,,
110,110,,干锅土豆片,22.0,美食苑,淄博烧烤,,正餐,,
111,111,,干锅腊味包菜,32.0,美食苑,淄博烧烤,,正餐,,
112,112,,干锅大虾,58.0,美食苑,淄博烧烤,,正餐,,
113,113,,干锅仔鸡,36.0,美食苑,淄博烧烤,,正餐,,
114,114,,干锅卤香排骨,55.0,美食苑,淄博烧烤,,正餐,,
115,115,,干锅娃娃菜,22.0,美食苑,淄博烧烤,,正餐,,
116,116,,干锅腊肠,38.0,美食苑,淄博烧烤,,正餐,,
117,117,,干锅卤味牛肉,48.0,美食苑,淄博烧烤,,正餐,,
118,118,,米饭,2.0,美食苑,淄博烧烤,,正餐,,
119,119,,西红柿炒鸡蛋盖饭,15.0,美食苑,淄博烧烤,,正餐,,
120,120,,韭菜鸡蛋盖饭,15.0,美食苑,淄博烧烤,,正餐,,
121,121,,尖椒肉丝盖饭,16.0,美食苑,淄博烧烤,,正餐,,
122,122,,外婆菜盖饭,16.0,美食苑,淄博烧烤,,正餐,,
123,123,,鱼香肉丝盖饭,16.0,美食苑,淄博烧烤,,正餐,,
124,124,,扬州炒饭,16.0,美食苑,淄博烧烤,,正餐,,
125,125,,木耳肉片盖饭,16.0,美食苑,淄博烧烤,,正餐,,
126,126,,小炒肉盖饭,18.0,美食苑,淄博烧烤,,正餐,,
127,127,,肉焖豆角盖饭,18.0,美食苑,淄博烧烤,,正餐,,
128,128,,小炒猪肝盖饭,18.0,美食苑,淄博烧烤,,正餐,,
129,129,,小炒香干盖饭,18.0,美食苑,淄博烧烤,,正餐,,
130,130,,小炒鸡丁盖饭,18.0,美食苑,淄博烧烤,,正餐,,
131,131,,京酱肉丝盖饭,18.0,美食苑,淄博烧烤,,正餐,,
132,132,,宫保鸡丁盖饭,18.0,美食苑,淄博烧烤,,正餐,,
133,133,,辣子鸡盖饭,20.0,美食苑,淄博烧烤,,正餐,,
134,134,,小炒猪头肉盖饭,20.0,美食苑,淄博烧烤,,正餐,,
135,135,,回锅肉盖饭,20.0,美食苑,淄博烧烤,,正餐,,
136,136,,土豆牛肉盖饭,22.0,美食苑,淄博烧烤,,正餐,,
137,137,,梅菜扣肉盖饭,22.0,美食苑,淄博烧烤,,正餐,,
138,138,,煎蛋,3.0,美食苑,淄博烧烤,,正餐,,
139,139,,泡椒猪肝盖饭,16.0,美食苑,淄博烧烤,,正餐,,
140,140,,小炒鸭胸盖饭,19.0,美食苑,淄博烧烤,,正餐,,
141,141,,素炒面,13.0,美食苑,淄博烧烤,,正餐,,
142,142,,蛋炒面,15.0,美食苑,淄博烧烤,,正餐,,
143,143,,肉炒面,16.0,美食苑,淄博烧烤,,正餐,,
144,144,,牛肉炒面,18.0,美食苑,淄博烧烤,,正餐,,
145,145,,腊肉炒面,18.0,美食苑,淄博烧烤,,正餐,,
146,146,,凉面,10.0,美食苑,淄博烧烤,,正餐,,
147,147,,鸡蛋炒河粉,15.0,美食苑,淄博烧烤,,正餐,,
148,148,,肉丝炒河粉,16.0,美食苑,淄博烧烤,,正餐,,
149,149,,牛肉炒河粉,18.0,美食苑,淄博烧烤,,正餐,,
150,150,,腊肉炒河粉,18.0,美食苑,淄博烧烤,,正餐,,
151,151,,素炒河粉,13.0,美食苑,淄博烧烤,,正餐,,
152,152,,鸡蛋炒饼,15.0,美食苑,淄博烧烤,,正餐,,
153,153,,肉炒饼,16.0,美食苑,淄博烧烤,,正餐,,
154,155,,牛肉炒饼,18.0,美食苑,淄博烧烤,,正餐,,
155,156,,腊肉炒饼,18.0,美食苑,淄博烧烤,,正餐,,
156,157,,酸辣汤,18.0,美食苑,淄博烧烤,,正餐,,
157,158,,西红柿鸡蛋汤,18.0,美食苑,淄博烧烤,,正餐,,
158,159,,西红柿疙瘩汤（小份）,10.0,美食苑,淄博烧烤,,正餐,,
159,160,,西红柿疙瘩汤（大份）,18.0,美食苑,淄博烧烤,,正餐,,
