id,food_name,price,area,counter,tags,time,,备注
,酸菜白肉,12,学二食堂,汤炖菜柜台,"酸菜, 白肉, 汤",正餐,,
,酸汤鸭块,8,学二食堂,汤炖菜柜台,"鸭, 酸, 汤",正餐,,
,西红柿牛腩,14,学二食堂,汤炖菜柜台,,正餐,,
,酸汤肥牛,12,学二食堂,汤炖菜柜台,,正餐,,
,冬瓜丸子,10,学二食堂,汤炖菜柜台,,正餐,,
,元宝红烧肉,14,学二食堂,汤炖菜柜台,,正餐,,
,山药鸡块,12,学二食堂,汤炖菜柜台,,正餐,,
,白菜豆腐,4,学二食堂,汤炖菜柜台,,正餐,,
,水煮肉,10,学二食堂,汤炖菜柜台,,正餐,,
,小酥肉,10,学二食堂,汤炖菜柜台,,正餐,,
,干烧罗非鱼,10,学二食堂,套餐柜台,,正餐,,
,酱烧巴沙鱼,12,学二食堂,套餐柜台,,正餐,,
,干炸带鱼,12,学二食堂,套餐柜台,,正餐,,
,酱烧碎骨肉,15,学二食堂,套餐柜台,,正餐,,
,锅包肉,12,学二食堂,套餐柜台,,正餐,,
,滑蛋牛肉,10,学二食堂,套餐柜台,,正餐,,
,大盘鸡,8,学二食堂,套餐柜台,,正餐,,
,豉椒肉片,10,学二食堂,套餐柜台,,正餐,,
,豇豆烧茄子,6,学二食堂,套餐柜台,,正餐,,
,炒合菜,4,学二食堂,套餐柜台,,正餐,,
,粉丝娃娃菜,3,学二食堂,套餐柜台,,正餐,,
,蚝油生菜,3,学二食堂,套餐柜台,,正餐,,
,醋溜木须,10,学二食堂,套餐柜台,,正餐,,
,土豆牛肉,12,学二食堂,套餐柜台,,正餐,,
,小炒肉,10,学二食堂,套餐柜台,,正餐,,
,蒜香鸡腿,8,学二食堂,套餐柜台,,正餐,,
,鱼香肉丝,10,学二食堂,套餐柜台,,正餐,,
,干煸豇豆,8,学二食堂,套餐柜台,,正餐,,
,烤肠西兰花,5,学二食堂,套餐柜台,,正餐,,
,胡萝卜粉丝,3,学二食堂,套餐柜台,,正餐,,
,肉烧土豆片,3,学二食堂,套餐柜台,,正餐,,
,青笋肉片,8,学二食堂,套餐柜台,,正餐,,
,菠菜粉丝,3,学二食堂,基本伙柜台,,正餐,,
,木耳快菜,3,学二食堂,基本伙柜台,,正餐,,
,粉丝小白菜,3,学二食堂,基本伙柜台,,正餐,,
,烧茄子,3,学二食堂,基本伙柜台,,正餐,,
,尖椒豆皮,3,学二食堂,基本伙柜台,,正餐,,
,香干芹菜,3,学二食堂,基本伙柜台,,正餐,,
,芹菜炒肉,3,学二食堂,基本伙柜台,,正餐,,
,什锦豆腐,3,学二食堂,基本伙柜台,,正餐,,
,圆白菜炒肉,3,学二食堂,基本伙柜台,,正餐,,
,鸡蛋西葫芦,3,学二食堂,基本伙柜台,,正餐,,
,豆芽肉丝,3,学二食堂,基本伙柜台,,正餐,,
,芹菜花生米,3,学二食堂,基本伙柜台,,正餐,,
,西红柿鸡蛋,3,学二食堂,基本伙柜台,,正餐,,
,狮子头,3,学二食堂,基本伙柜台,,正餐,,
