id,food_name,price,area,counter,tags,time,,备注
,叉烧鸡腿饭,10,合一三楼,焖锅柜台,,正餐,,
,麦香鸡腿饭,10,合一三楼,焖锅柜台,,正餐,,
,奥尔良鸡腿饭,10,合一三楼,焖锅柜台,,正餐,,
,香辣鸡腿饭,10,合一三楼,焖锅柜台,,正餐,,
,麦辣鸡腿饭,10,合一三楼,焖锅柜台,,正餐,,
,麻辣米粉,8,合一三楼,米粉柜台,,正餐,,
,海带丝米粉,8,合一三楼,米粉柜台,,正餐,,
,酸豆角米粉,8,合一三楼,米粉柜台,,正餐,,
,微辣米粉,8,合一三楼,米粉柜台,,正餐,,
,原味米粉,8,合一三楼,米粉柜台,,正餐,,
,酸辣米粉,8,合一三楼,米粉柜台,,正餐,,
,酸辣粉,9,合一三楼,米粉柜台,,正餐,,
,肉末米粉,9,合一三楼,米粉柜台,,正餐,,
,卤蛋米粉,9,合一三楼,米粉柜台,,正餐,,
,金针菇米粉,9,合一三楼,米粉柜台,,正餐,,
,鸡肉米粉,10,合一三楼,米粉柜台,,正餐,,
,鸡丸米粉,10,合一三楼,米粉柜台,,正餐,,
,鸡杂米粉,10,合一三楼,米粉柜台,,正餐,,
,肥肠米粉,11,合一三楼,米粉柜台,,正餐,,
,排骨米粉,11,合一三楼,米粉柜台,,正餐,,
,牛肉米粉,11,合一三楼,米粉柜台,,正餐,,
,鲜肉茴香,3,合一三楼,水饺柜台,,正餐,,
,鲜肉韭菜,3,合一三楼,水饺柜台,,正餐,,
,鲜肉大葱,3,合一三楼,水饺柜台,,正餐,,
,鲜肉莲藕,3,合一三楼,水饺柜台,,正餐,,
,鲜肉香芹,3,合一三楼,水饺柜台,,正餐,,
,韭菜鸡蛋,3,合一三楼,水饺柜台,,正餐,,
,鲜肉荠菜,5,合一三楼,水饺柜台,,正餐,,
,肉三鲜,5,合一三楼,水饺柜台,,正餐,,
,牛肉胡萝卜,6,合一三楼,水饺柜台,,正餐,,
,鱼香鸡蛋,9,合一三楼,盖饭柜台,,正餐,,
,剁椒鸡蛋,9,合一三楼,盖饭柜台,,正餐,,
,鱼香茄子,9,合一三楼,盖饭柜台,,正餐,,
,红烧茄子,9,合一三楼,盖饭柜台,,正餐,,
,小炒鸡丁,10,合一三楼,盖饭柜台,,正餐,,
,鱼香肉丝,10,合一三楼,盖饭柜台,,正餐,,
,宫保鸡丁,10,合一三楼,盖饭柜台,,正餐,,
,鲜笋肉丝,10,合一三楼,盖饭柜台,,正餐,,
,松香肉丝,10,合一三楼,盖饭柜台,,正餐,,
,红烧日本豆腐,10,合一三楼,盖饭柜台,,正餐,,
,茄汁鱼排,10,合一三楼,盖饭柜台,,正餐,,
,风味茄丁,11,合一三楼,盖饭柜台,,正餐,,
,宫保茄丁,11,合一三楼,盖饭柜台,,正餐,,
,糊辣鸡丝,11,合一三楼,盖饭柜台,,正餐,,
,京酱肉丝,11,合一三楼,盖饭柜台,,正餐,,
,杭椒肉丝,11,合一三楼,盖饭柜台,,正餐,,
,香辣肉丝,11,合一三楼,盖饭柜台,,正餐,,
,金针菇肉丝,11,合一三楼,盖饭柜台,,正餐,,
,三鲜日本豆腐,11,合一三楼,盖饭柜台,,正餐,,
,脆皮日本豆腐,11,合一三楼,盖饭柜台,,正餐,,
,豆角烧茄子,11,合一三楼,盖饭柜台,,正餐,,
,香辣五花肉,12,合一三楼,盖饭柜台,,正餐,,
,鸭块烧豆角,12,合一三楼,盖饭柜台,,正餐,,
,台湾宝岛鸡,12,合一三楼,盖饭柜台,,正餐,,
,爆香排骨肉,12,合一三楼,盖饭柜台,,正餐,,
,牛肉金针菇,12,合一三楼,盖饭柜台,,正餐,,
,宫保脆皮鸡,12,合一三楼,盖饭柜台,,正餐,,
,高山辣香鸡,12,合一三楼,盖饭柜台,,正餐,,
,土豆小炒肉,12,合一三楼,盖饭柜台,,正餐,,
,葱爆肥牛,12,合一三楼,盖饭柜台,,正餐,,
,杭椒牛柳,12,合一三楼,盖饭柜台,,正餐,,
,香炒鸡胗,12,合一三楼,盖饭柜台,,正餐,,
,干煸牛柳,12,合一三楼,盖饭柜台,,正餐,,
,孜然里脊,12,合一三楼,盖饭柜台,,正餐,,
,招牌肥牛,12,合一三楼,盖饭柜台,,正餐,,
,鱼香鸡腿排,12,合一三楼,盖饭柜台,,正餐,,
,台式腊味饭,13,合一三楼,盖饭柜台,,正餐,,
,台式鸡腿饭,13,合一三楼,盖饭柜台,,正餐,,
,台式鸭翅饭,13,合一三楼,盖饭柜台,,正餐,,
,毛豆红烧肉,13,合一三楼,盖饭柜台,,正餐,,
,豆角红烧肉,13,合一三楼,盖饭柜台,,正餐,,
,杏鲍菇牛肉,13,合一三楼,盖饭柜台,,正餐,,
,牛肉辣干笋,13,合一三楼,盖饭柜台,,正餐,,
,台湾卤肉饭,13,合一三楼,盖饭柜台,,正餐,,
,台式牛柳饭,13,合一三楼,盖饭柜台,,正餐,,
,香菇滑鸡饭,13,合一三楼,盖饭柜台,,正餐,,
