id,food_name,price,area,counter,tags,time,,备注
,招牌肉末米粉,17,美食苑,无名缘米粉,,正餐,,
,肉末酸辣粉,17,美食苑,无名缘米粉,,正餐,,
,酸辣米粉,15,美食苑,无名缘米粉,,正餐,,
,红烧牛肉米粉,23,美食苑,无名缘米粉,,正餐,,
,番茄牛腩米粉,23,美食苑,无名缘米粉,,正餐,,
,秘制肥肠米粉,23,美食苑,无名缘米粉,,正餐,,
,金针菇米粉,17,美食苑,无名缘米粉,,正餐,,
,笋尖米粉,17,美食苑,无名缘米粉,,正餐,,
,酸豆角米粉,17,美食苑,无名缘米粉,,正餐,,
,凉拌粉,13,美食苑,无名缘米粉,,正餐,,
,特色凉皮,12,美食苑,无名缘米粉,,正餐,,
,鸡腿,7,美食苑,无名缘米粉,,正餐,,
,二师兄,10,美食苑,无名缘米粉,,正餐,,
,猪头肉,10,美食苑,无名缘米粉,,正餐,,
,素三拼,6,美食苑,无名缘米粉,,正餐,,
,香酥小酥肉,10,美食苑,无名缘米粉,,正餐,,
,秘制肉末,6.9,美食苑,无名缘米粉,,正餐,,
,肉末酸豆角,3,美食苑,无名缘米粉,,正餐,,
,烧饼夹鸡蛋火腿,8,美食苑,无名缘米粉,,正餐,,
,烧饼夹鸡蛋,5,美食苑,无名缘米粉,,正餐,,
,老潼关肉夹馍（纯瘦）,12,美食苑,无名缘米粉,,正餐,,
,老潼关肉夹馍（肥瘦）,10,美食苑,无名缘米粉,,正餐,,
,米粉,3,美食苑,无名缘米粉,,正餐,,
,泡椒笋尖,5.8,美食苑,无名缘米粉,,正餐,,
,老干妈牛肉猛火蛋炒饭,19,美食苑,隆江猪肘饭,,正餐,,
,王中王鸡蛋猛火炒饭,15,美食苑,隆江猪肘饭,,正餐,,
,广式腊肠猛火蛋炒饭,17,美食苑,隆江猪肘饭,,正餐,,
,招牌正宗隆江猪脚饭（猪肘子）,25,美食苑,隆江猪肘饭,,正餐,,
,广式蜜汁叉烧饭,20,美食苑,隆江猪肘饭,,正餐,,
,酸豆角猛火蛋炒饭,14,美食苑,隆江猪肘饭,,正餐,,
,卤香牛肉猛火蛋炒饭,18,美食苑,隆江猪肘饭,,正餐,,
,经典卤护心肉饭,25,美食苑,隆江猪肘饭,,正餐,,
,广式肉卷饭,20,美食苑,隆江猪肘饭,,正餐,,
,秘制凉皮,12,美食苑,隆江猪肘饭,,正餐,,
,鹏城小烤肠,2,美食苑,隆江猪肘饭,,正餐,,
,招牌剁椒牛肉猛火蛋炒饭,19,美食苑,隆江猪肘饭,,正餐,,
,虾仁猛火蛋炒饭,18,美食苑,隆江猪肘饭,,正餐,,
,大大大里脊猛火蛋炒饭,17,美食苑,隆江猪肘饭,,正餐,,
,香煎培根猛火蛋炒饭,16,美食苑,隆江猪肘饭,,正餐,,
